Artist,Song,Emotion
Pharrel Williams,Happy,happy
Justin Timberlake,Can't Stop The Feeling,happy
The Black Eyed Peas,I Gotta Feeling,happy
Katrina and the Waves,Walking on Sunshine,happy
Bobby McFerrin,"Don't Worry, Be Happy",happy
American Authors,Best Day of My Life,happy
Mark Ronson ft. Bruno Mars,Uptown Funk,happy
Walk the Moon,Shut Up and Dance,happy
Taylor Swift,22,happy
Katy Perry,Firework,happy
Someone Like You,Adele,sad
Almost Is Never Enough,Ariana Grande,sad
Scientist,Coldplay,sad
About You,The 1975,sad
Somebody's Pleasure,Aziz Hendra,sad
Hati Yang Kau Sakiti,Rossa,sad
Lagu Untuknu,Raisa,sad
Cukup,Ziva Magnolya,sad
Tak Dianggap,Lyodra,sad
Hilang Tanpa Bilang ,Meiska,sad
Bertaut,Nadine Amizah,neutral
Tutur Batin ,Yura Yunita,neutral
Laskar Pelangi,Nidji,neutral
I'm yours,Jason Mraz,neutral
Yellow,Coldplay,neutral
Photograph,Ed Sheeran,neutral
Somewhere Only We Know,Keane,neutral
Perfect,Simple Plan,neutral
Somewhere Only We Know,Keane,neutral
Satu Bintang,Haddad Alwi feat. Padi,neutral
Numb,Linkin Park,angry
Enter Sandman,Metallica,angry
Angry Again,Megadeth,angry
"Would've, Could've, Should've",Taylor Swift,angry
Cincin,Hindia,angry
Kecewa,Bunga Citra Lestari,angry
Jangan Pergi,Killing Me Inside,angry
Dangerously,Charlie Puth,angry
Bohemian Rhapsody,Queen ,angry
Angels Like You,Miley Cyrus,angry
